,text,first_cates,sec_cates,cates
1079,"статью 4 Федерального закона от 7 июля 2003 года N 111-ФЗ ""О внесении изменений и дополнений в Федеральный закон ""Об основах системы профилактики безнадзорности и правонарушений несовершеннолетних"" и другие законодательные акты Российской Федерации"" (Собрание законодательства Российской Федерации, 2003, N 28, ст. 2880);",OTHER,NON,"OTHER,NON"
1080,"Административный надзор прекращается по следующим основаниям: 7) погашение или снятие судимости, если применение принудительных мер медицинского характера в отношении поднадзорного лица, указанного в части 2.1 статьи 3 настоящего Федерального закона, было прекращено ранее.",DUTY,PUR,"DUTY,PUR"
1081,Условия и порядок оказания содействия в предоставлении указанной помощи определяются законодательством Российской Федерации о социальном обслуживании.,DEC,NON,"DEC,NON"
1082,"В случае, если субъект Российской Федерации осуществляет финансовое обеспечение региональной социальной доплаты исключительно за счет собственных средств (за исключением межбюджетных трансфертов), он вправе определять условия ее установления и выплаты, включая меры социальной поддержки, учитываемые при подсчете общей суммы материального обеспечения пенсионера, а также размер этой доплаты, превышающий установленный настоящим Федеральным законом размер региональной социальной доплаты к пенсии, и правила ее осуществления в соответствии с законами и иными нормативными правовыми актами этого субъекта Российской Федерации.",DEC,NON,"DEC,NON"
1083,"В случае образования земельных участков из земельных участков, используемых на основании договоров аренды или безвозмездного пользования, осуществляющее такое использование лицо в отношении измененных земельных участков сохраняет право аренды или безвозмездного пользования и (или) имеет право на заключение с ним договоров аренды образуемых и измененных земельных участков или договоров безвозмездного пользования ими на прежних условиях, если иное не установлено соглашением сторон, без проведения торгов (конкурсов, аукционов).",ALLOW,FAIR,"ALLOW,FAIR"
1084,"Действие закона или иного нормативного правового акта, содержащего нормы трудового права, распространяется на отношения, возникшие до введения его в действие, лишь в случаях, прямо предусмотренных этим актом.",OTHER,NON,"OTHER,NON"
1085,"Государственной компанией признается некоммерческая организация, не имеющая членства и созданная Российской Федерацией на основе имущественных взносов для оказания государственных услуг и выполнения иных функций с использованием государственного имущества на основе доверительного управления.",DEF,NON,"DEF,NON"
1086,"Родитель, с которым проживает ребенок, не должен препятствовать общению ребенка с другим родителем, если такое общение не причиняет вред физическому и психическому здоровью ребенка, его нравственному развитию.",DEC,CARE,"DEC,CARE"
1087,Составление такой сметы по требованию потребителя или исполнителя обязательно.,DUTY,FAIR,"DUTY,FAIR"
1088,"Отказ во внесении казачьего общества в государственный реестр казачьих обществ в Российской Федерации не является препятствием для повторного представления документов для внесения казачьего общества в указанный реестр при условии устранения оснований, вызвавших отказ.",ALLOW,PUR,"ALLOW,PUR"
1089,"жестоко обращаются с детьми, в том числе осуществляют физическое или психическое насилие над ними, покушаются на их половую неприкосновенность;",OTHER,CARE,"OTHER,CARE"
1090,"Назначение на должность и освобождение от должности главного государственного жилищного инспектора Российской Федерации осуществляются Правительством Российской Федерации по предложению федерального органа исполнительной власти, уполномоченного Правительством Российской Федерации.",DUTY,NON,"DUTY,NON"
1091,Уведомление должно содержать следующие сведения: 9) срок или условие прекращения обработки персональных данных;,DUTY,NON,"DUTY,NON"
1092,"В отношении персональных данных, ставших известными уполномоченному органу по защите прав субъектов персональных данных в ходе осуществления им своей деятельности, должна обеспечиваться конфиденциальность персональных данных.",DUTY,NON,"DUTY,NON"
1093,"осуществлять в целях обеспечения безопасности граждан и общественного порядка совместно с организаторами публичных и массовых мероприятий личный осмотр граждан, находящихся при них вещей при проходе на территории сооружений, на участки местности либо в общественные места, где проводятся такие мероприятия, с применением в случае необходимости технических средств, а при отказе гражданина подвергнуться личному осмотру не допускать его на такие территории, участки местности и в такие общественные места;",ALLOW,NON,"ALLOW,NON"
1094,4. Ежемесячная денежная выплата устанавливается в размере:,OTHER,CARE,"OTHER,CARE"
1095,"о лицах, объявленных в розыск;",OTHER,NON,"OTHER,NON"
1096,"Перевод земель или земельных участков из одной категории в другую и (или) изменение основных или вспомогательных видов разрешенного использования, предоставление разрешения на условно разрешенный вид разрешенного использования земельного участка не влекут за собой прекращение прав собственников земельных участков, землепользователей, землевладельцев и арендаторов земельных участков, лиц, в пользу которых установлены сервитут, публичный сервитут, а также лиц, использующих земли или земельные участки по основаниям, предусмотренным настоящим Кодексом.",OTHER,FAIR,"OTHER,FAIR"
1097,"Правовой основой воинской обязанности и военной службы являются Конституция Российской Федерации, настоящий Федеральный закон, другие федеральные законы и иные нормативные правовые акты Российской Федерации, регулирующие вопросы обороны, воинской обязанности, военной службы и статуса военнослужащих, международные договоры Российской Федерации.",DEC,NON,"DEC,NON"
1098,"Вознаграждение, выплачиваемое арбитражному управляющему в деле о банкротстве, состоит из фиксированной суммы и суммы процентов.",DEC,NON,"DEC,NON"
1099,К педагогической деятельности не допускаются лица: лишенные права заниматься педагогической деятельностью в соответствии с вступившим в законную силу приговором суда;,BAN,PUR,"BAN,PUR"
1100,"Российское казачество проходит федеральную государственную службу, связанную с правоохранительной деятельностью, в соответствии с федеральным законодательством.",DEC,AUTH,"DEC,AUTH"
1101,"К информации, запрещенной для распространения среди детей, относится информация: 6) содержащая нецензурную брань;",DEC,PUR,"DEC,PUR"
1102,Потребитель обязан оплатить выполненную исполнителем в полном объеме работу после ее принятия потребителем.,DUTY,FAIR,"DUTY,FAIR"
1103,"В данном случае размещение указанного сооружения может быть осуществлено после изъятия земельного участка для государственных или муниципальных нужд при соблюдении условий, предусмотренных статьями 49 и 56.3 настоящего Кодекса.",ALLOW,NON,"ALLOW,NON"
1104,Российское казачество осуществляет свое право на равный доступ к государственной службе в соответствии с законодательством Российской Федерации.,ALLOW,FAIR,"ALLOW,FAIR"
1105,"участие в деятельности, направленной на получение определенного результата на выборах, референдуме, в наблюдении за проведением выборов, референдума, формировании избирательных комиссий, комиссий референдума, в деятельности политических партий;",OTHER,NON,"OTHER,NON"
1106,"при пресечении незаконных собраний, митингов, демонстраций, шествий и пикетирований ненасильственного характера, которые не нарушают общественный порядок, работу транспорта, средств связи и организаций.",OTHER,NON,"OTHER,NON"
1107,"Положение о федеральном государственном контроле (надзоре) в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции утверждается Правительством Российской Федерации.",DEC,AUTH,"DEC,AUTH"
1108,"Перечень воинских частей, штабов и учреждений, входивших в состав действующей армии в период Великой Отечественной войны, определяется Правительством Российской Федерации.",DEF,NON,"DEF,NON"
1109,test2 test2 test2 test2 test2 test2 test2,ALLOW,AUTH,"ALLOW,AUTH"
1110,"Не допускается обработка персональных данных, несовместимая с целями сбора персональных данных.",BAN,NON,"BAN,NON"
1111,"Уведомление, предусмотренное частью 3 настоящей статьи, направляется в виде документа на бумажном носителе или в форме электронного документа и подписывается уполномоченным лицом.",OTHER,NON,"OTHER,NON"
1112,"Перевод земель из одной категории в другую осуществляется в отношении: земель, находящихся в частной собственности: земель сельскохозяйственного назначения - органами исполнительной власти субъектов Российской Федерации;",ALLOW,NON,"ALLOW,NON"
1113,"11) сохранение права на получение медицинской помощи в медицинских организациях, к которым указанные лица были прикреплены в период работы до выхода на пенсию, а также внеочередное оказание медицинской помощи в рамках программы государственных гарантий бесплатного оказания гражданам медицинской помощи (в том числе прохождение ежегодной диспансеризации) в медицинских организациях (в том числе в госпиталях ветеранов войн), подведомственных федеральным органам исполнительной власти, в порядке, установленном Правительством Российской Федерации, в медицинских организациях, подведомственных исполнительным органам государственной власти субъектов Российской Федерации, - законами и иными нормативными правовыми актами субъектов Российской Федерации;",DUTY,CARE,"DUTY,CARE"
1114,В случае возникновения спора родители вправе обратиться в суд за защитой своих прав.,ALLOW,NON,"ALLOW,NON"
1115,"3. Положения настоящего Кодекса применяются к жилищным отношениям с участием иностранных граждан, лиц без гражданства, иностранных юридических лиц, если иное не установлено настоящим Кодексом или другим федеральным законом.",DEC,NON,"DEC,NON"
1116,"Общественные объединения потребителей (их ассоциации, союзы) для осуществления своих уставных целей вправе: осуществлять общественный контроль за соблюдением прав потребителей и направлять в орган государственного надзора и органы местного самоуправления информацию о фактах нарушений прав потребителей для проведения проверки этих фактов и принятия в случае их подтверждения мер по пресечению нарушений прав потребителей в пределах полномочий указанных органов, участвовать в проведении экспертиз по фактам нарушений прав потребителей в связи с обращениями потребителей.",ALLOW,LOYAL,"ALLOW,LOYAL"
1117,"В настоящем Федеральном законе используются следующие основные понятия: использование природных ресурсов - эксплуатация природных ресурсов, вовлечение их в хозяйственный оборот, в том числе все виды воздействия на них в процессе хозяйственной и иной деятельности;",DEF,NON,"DEF,NON"
1118,1. Право на ежемесячную денежную выплату имеют:,ALLOW,CARE,"ALLOW,CARE"
1119,"Они обязаны заложить основы физического, нравственного и интеллектуального развития личности ребенка.",DUTY,NON,"DUTY,NON"
1120,"Недостоверной признается реклама, которая содержит не соответствующие действительности сведения о любых характеристиках товара, в том числе о его природе, составе, способе и дате изготовления, назначении, потребительских свойствах, об условиях применения товара, о месте его происхождения, наличии сертификата соответствия или декларации о соответствии, знаков соответствия и знаков обращения на рынке, сроках службы, сроках годности товара",BAN,PUR,"BAN,PUR"
1121,"Со дня вступления в силу настоящего Федерального закона признать утратившими силу: пункты 2 - 4, 7 - 18 Закона Российской Федерации от 17 июня 1993 г. N 5206-1 ""О внесении изменений и дополнений в Закон РСФСР ""О гражданстве РСФСР"" (Ведомости Съезда народных депутатов Российской Федерации и Верховного Совета Российской Федерации, 1993, N 29, ст. 1112)",OTHER,NON,"OTHER,NON"
1122,"1. Предметом государственного жилищного надзора является соблюдение юридическими лицами, индивидуальными предпринимателями и гражданами обязательных требований, установленных жилищным законодательством, законодательством об энергосбережении и о повышении энергетической эффективности, законодательством о газоснабжении в Российской Федерации в отношении жилищного фонда, за исключением муниципального жилищного фонда: 8) требований энергетической эффективности и оснащенности помещений многоквартирных домов и жилых домов приборами учета используемых энергетических ресурсов;",DEC,NON,"DEC,NON"
1123,Административный надзор прекращается по следующим основаниям: 5) смерть поднадзорного лица;,DUTY,PUR,"DUTY,PUR"
1124,"Если в установленный срок владелец рекламной конструкции не выполнил указанную в части 21 настоящей статьи обязанность по демонтажу рекламной конструкции или владелец рекламной конструкции неизвестен, орган местного самоуправления муниципального района, орган местного самоуправления муниципального округа или орган местного самоуправления городского округа выдает предписание о демонтаже рекламной конструкции собственнику или иному законному владельцу недвижимого имущества, к которому присоединена рекламная конструкция, за исключением случая присоединения рекламной конструкции к объекту муниципального имущества или к общему имуществу собственников помещений в многоквартирном доме при отсутствии согласия таких собственников на установку и эксплуатацию рекламной конструкции. Собственник или иной законный владелец недвижимого имущества, к которому присоединена рекламная конструкция, обязан демонтировать рекламную конструкцию в течение месяца со дня выдачи соответствующего предписания.",DUTY,AUTH,"DUTY,AUTH"
1125,"Предметом федерального государственного контроля (надзора) за деятельностью по оказанию гражданам государственной социальной помощи в виде предоставления социальных услуг является соблюдение организациями, оказывающими гражданам государственную социальную помощь, требований настоящего Федерального закона, других федеральных законов и иных нормативных правовых актов Российской Федерации, а также законов и иных нормативных правовых актов субъектов Российской Федерации, регламентирующих вопросы оказания гражданам государственной социальной помощи в виде предоставления социальных услуг.",DEC,NON,"DEC,NON"
1126,"объекты культурного наследия местного (муниципального) значения - объекты, обладающие историко-архитектурной, художественной, научной и мемориальной ценностью, имеющие особое значение для истории и культуры муниципального образования.",DEF,PUR,"DEF,PUR"
1127,"Со дня вступления в силу настоящего Федерального закона признать утратившими силу: статью 11 Федерального закона от 24 мая 1999 г. N 99-ФЗ ""О государственной политике Российской Федерации в отношении соотечественников за рубежом"" (Собрание законодательства Российской Федерации, 1999, N 22, ст. 2670)",OTHER,NON,"OTHER,NON"
1128,В социальном контракте должны быть установлены:,DUTY,AUTH,"DUTY,AUTH"
1129,"Решение о внесении в государственный реестр казачьих обществ в Российской Федерации хуторского, станичного, городского или районного (юртового) казачьего общества принимается территориальным органом органа, уполномоченного в области ведения реестра, по месту нахождения соответствующего казачьего общества.",DEC,AUTH,"DEC,AUTH"
1130,"Деятельность средства массовой информации может быть также приостановлена в порядке и по основаниям, предусмотренным статьей 56.2 настоящего Закона.",ALLOW,NON,"ALLOW,NON"
1131,"Недостоверной признается реклама, которая содержит не соответствующие действительности сведения о лице, обязавшемся по ценной бумаге;",BAN,PUR,"BAN,PUR"
1132,"Не может выступать учредителем: гражданин, отбывающий наказание в местах лишения свободы либо имеющий судимость за совершение преступлений с использованием средств массовой информации или информационно-телекоммуникационных сетей, в том числе сети ""Интернет"", или за совершение преступлений, связанных с осуществлением экстремистской деятельности, а также гражданин, не достигший восемнадцатилетнего возраста или признанный судом недееспособным; объединение граждан, предприятие, учреждение, организация, деятельность которых запрещена по закону; гражданин другого государства или лицо без гражданства, не проживающее постоянно в Российской Федерации.",BAN,PUR,"BAN,PUR"
1133,"Обучающимся предоставляются академические права на: 18) ознакомление со свидетельством о государственной регистрации, с уставом, со сведениями о дате предоставления и регистрационном номере лицензии на осуществление образовательной деятельности, свидетельством о государственной аккредитации, с учебной документацией, другими документами, регламентирующими организацию и осуществление образовательной деятельности в образовательной организации;",ALLOW,NON,"ALLOW,NON"
1134,"Федеральный государственный контроль (надзор) в сфере образования осуществляется в соответствии с положением, утверждаемым Правительством Российской Федерации.",OTHER,NON,"OTHER,NON"
1135,"Порядок ведения государственного реестра казачьих обществ в Российской Федерации определяется органом, уполномоченным в области ведения реестра.",DEC,AUTH,"DEC,AUTH"
1136,"1. К полномочиям органов местного самоуправления в области жилищных отношений относятся: 3) ведение в установленном порядке учета граждан в качестве нуждающихся в жилых помещениях, предоставляемых по договорам социального найма;",OTHER,UNCHECKED,"OTHER,UNCHECKED"
1137,"Нарушение кандидатом, избирательным объединением, членом или уполномоченным представителем инициативной группы по проведению референдума, иной группы участников референдума, иным лицом, уполномоченным выступать от имени кандидата, избирательного объединения или привлеченным указанными лицами к проведению предвыборной агитации, либо лицом, замещающим государственную должность или выборную муниципальную должность, предусмотренных законодательством о выборах и референдумах порядка и условий проведения предвыборной агитации, агитации по вопросам референдума в средствах массовой информации - (в ред. Федеральных законов от 21.07.2005 N 93-ФЗ, от 09.03.2016 N 66-ФЗ) влечет наложение административного штрафа на граждан в размере от одной тысячи до двух тысяч пятисот рублей; на должностных лиц - от двух тысяч до пяти тысяч рублей; на избирательные объединения, на иных юридических лиц - от двадцати тысяч до ста тысяч рублей.",BAN,AUTH,"BAN,AUTH"
1138,"запрашивать у органов публичной власти, а также у кредитных и иных финансовых организаций информацию о финансово-хозяйственной деятельности лиц, указанных в части 2 статьи 1 настоящего Федерального закона, и получать такую информацию;",OTHER,NON,"OTHER,NON"
1139,истечением срока действия;,OTHER,NON,"OTHER,NON"
1140,"Настоящий Федеральный закон определяет особенности гражданско-правового положения некоммерческих организаций отдельных организационно-правовых форм, видов и типов, а также возможные формы поддержки некоммерческих организаций органами государственной власти и органами местного самоуправления.",DEF,CARE,"DEF,CARE"
1141,Сроком подачи заявки на получение комплексного экологического разрешения является дата ее поступления в уполномоченный Правительством Российской Федерации федеральный орган исполнительной власти.,DEF,NON,"DEF,NON"
1142,Административный управляющий обязан в течение пятнадцати дней с даты возникновения оснований для досрочного прекращения финансового оздоровления созвать собрание кредиторов для рассмотрения вопроса об обращении в арбитражный суд с ходатайством о досрочном прекращении финансового оздоровления.,DUTY,NON,"DUTY,NON"
1143,"Лицо, приобретающее гражданство Российской Федерации по одному из оснований, предусмотренных пунктами ""б"" - ""г"" статьи 11 настоящего Федерального закона (за исключением лиц, указанных в части второй настоящей статьи), обязано принести Присягу гражданина Российской Федерации (далее - Присяга): Я (фамилия, имя, отчество), добровольно и осознанно принимая гражданство Российской Федерации, клянусь защищать свободу и независимость Российской Федерации;",DUTY,AUTH,"DUTY,AUTH"
1144,"Федеральный орган исполнительной власти, уполномоченный в сфере оборота оружия, или его территориальный орган запрашивает также в федеральном органе исполнительной власти, осуществляющем государственную регистрацию юридических лиц, выписку из единого государственного реестра юридических лиц (сведения, содержащиеся в ней), если указанная выписка не была представлена заявителем по собственной инициативе.",DEC,NON,"DEC,NON"
1145,"Семейное законодательство состоит из настоящего Кодекса и принимаемых в соответствии с ним других федеральных законов (далее - законы), а также законов субъектов Российской Федерации.",DEC,NON,"DEC,NON"
1146,"пункт 2 статьи 1 Федерального закона от 25 июля 2002 года N 112-ФЗ ""О внесении изменений и дополнений в законодательные акты Российской Федерации в связи с принятием Федерального закона ""О противодействии экстремистской деятельности"" (Собрание законодательства Российской Федерации, 2002, N 30, ст. 3029);",OTHER,NON,"OTHER,NON"
1147,Срок исполнения вновь выданного предписания не может превышать три месяца.,BAN,NON,"BAN,NON"
1148,"Заявка на получение комплексного экологического разрешения подлежит рассмотрению при условии соответствия формы и содержания представленных материалов требованиям настоящего Федерального закона в срок, не превышающий четырех месяцев.",DEC,NON,"DEC,NON"
1149,"К недопустимым условиям договора, ущемляющим права потребителя, относятся: 1) условия, которые предоставляют продавцу (изготовителю, исполнителю, уполномоченной организации или уполномоченному индивидуальному предпринимателю, импортеру, владельцу агрегатора) право на односторонний отказ от исполнения обязательства или одностороннее изменение условий обязательства (предмета, цены, срока и иных согласованных с потребителем условий), за исключением случаев, если законом или иным нормативным правовым актом Российской Федерации предусмотрена возможность предоставления договором такого права;",OTHER,FAIR,"OTHER,FAIR"
1150,"Нарушение законодательства Российской Федерации в области генно-инженерной деятельности, выразившееся в использовании генно-инженерно-модифицированных организмов и (или) продукции, полученной с применением таких организмов или содержащей такие организмы, которые не прошли государственную регистрацию в случае, если государственная регистрация предусмотрена указанным законодательством, или срок действия свидетельства о государственной регистрации которых истек, либо в использовании генно-инженерно-модифицированных организмов не в соответствии с целями, для которых они зарегистрированы, либо в нарушении специальных условий использования генно-инженерно-модифицированных организмов, в том числе при производстве конкретного вида продукции, - влечет наложение административного штрафа на должностных лиц в размере от десяти тысяч до пятидесяти тысяч рублей; на юридических лиц - от ста тысяч до пятисот тысяч рублей.",BAN,PUR,"BAN,PUR"
1151,"Подготовка схемы расположения земельного участка в форме электронного документа может осуществляться с использованием официального сайта федерального органа исполнительной власти, уполномоченного Правительством Российской Федерации на осуществление государственного кадастрового учета, государственной регистрации прав, ведение Единого государственного реестра недвижимости и предоставление сведений, содержащихся в Едином государственном реестре недвижимости (далее - орган регистрации прав), в информационно-телекоммуникационной сети ""Интернет"" или с использованием иных технологических и программных средств.",ALLOW,NON,"ALLOW,NON"
1152,"3) первоочередное право на приобретение садовых земельных участков или огородных земельных участков, установке квартирного телефона;",DUTY,CARE,"DUTY,CARE"
1153,"Обеспечение безопасности персональных данных достигается, в частности: 7) восстановлением персональных данных, модифицированных или уничтоженных вследствие несанкционированного доступа к ним;",DEC,NON,"DEC,NON"
1154,В соответствии с настоящей главой право на получение государственной социальной помощи в виде набора социальных услуг имеют следующие категории граждан:,ALLOW,NON,"ALLOW,NON"
1155,"Федеральный государственный контроль (надзор) в области защиты прав потребителей осуществляется федеральным органом исполнительной власти, уполномоченным Правительством Российской Федерации (далее - орган государственного надзора).",DEC,AUTH,"DEC,AUTH"
1156,"К полномочиям органов государственной власти субъекта Российской Федерации в области жилищных отношений относятся: 8) осуществление контроля за использованием и сохранностью жилищного фонда субъекта Российской Федерации, соответствием жилых помещений данного фонда установленным санитарным и техническим правилам и нормам, иным требованиям законодательства;",OTHER,NON,"OTHER,NON"
1157,17) профессиональное обучение и дополнительное профессиональное образование за счет средств работодателя;,DUTY,CARE,"DUTY,CARE"
1158,"Представитель работников должника при осуществлении своих прав и исполнении своих обязанностей, предусмотренных федеральными законами, должен действовать в интересах всех работников, бывших работников должника.",DUTY,CARE,"DUTY,CARE"
1159,"Заявления, уведомления и сообщения, направленные работником или лицом, поступающим на работу, способами, указанными в части восьмой настоящей статьи, считаются полученными работодателем на следующий рабочий день после их направления.",DEC,FAIR,"DEC,FAIR"
1160,"Если иное не предусмотрено международным договором Российской Федерации или федеральным законом, гражданин Российской Федерации (за исключением граждан Российской Федерации, постоянно проживающих за пределами Российской Федерации), имеющий также иное гражданство либо вид на жительство или иной действительный документ, подтверждающий право на его постоянное проживание в иностранном государстве (далее также - документ на право постоянного проживания в иностранном государстве), обязан подать письменное уведомление о наличии иного гражданства или документа на право постоянного проживания в иностранном государстве в территориальный орган федерального органа исполнительной власти в сфере внутренних дел по месту жительства данного гражданина в пределах Российской Федерации (в случае отсутствия такового - по месту его пребывания в пределах Российской Федерации, а в случае отсутствия у него места жительства и места пребывания в пределах Российской Федерации - по месту его фактического нахождения в Российской Федерации) в течение шестидесяти дней со дня приобретения данным гражданином иного гражданства или получения им документа на право постоянного проживания в иностранном государстве.",DUTY,NON,"DUTY,NON"
